A1,A2Atlantida,A3,A4Equipo,A5,A6Canelones,A7,A8Equipo,A9,A10Santa Lucia,A11,A12Equipo,A13,A14San Jose de Carrasco / Shangrila,A15,A16Equipo,A17,A18Toledo,A19,A20Equipo,A21,A22Pando,A23,A24Equipo,A25,A26Las Piedras,A27,A28Equipo,A29,A30,A31Backofice San Jose de Carrasco/Lagomar 2,A32,A33Equipo,A34,A35La Paz,A36,A37Equipo,A38,A39Salinas,A40,A41Equipo,A42,A43Sala Lumiere,A44,A45Equipo,A46,A47San Ramon,A48,A49Equipo,A50,A51Tala,A52,A53Equipo,A54,A55Migues,A56,A57Equipo,A58,A59Progreso,A60,A61Equipo,A62,A63Parque del Plata,A64,A65Equipo,A66,A67La Floresta,A68,A69Equipo,A70,A71Soca,A72,A73Equipo,A74,A75Los Titanes,A76,A77Equipo,A78,A79San Luis,A80,A81Equipo,A82,A83Cuchilla Alta,A84,A85Equipo,A86,A87Santa Teresita,A88,A89Equipo,A90,A91Empalme Olmos,A92,A93Equipo,A94,A95San Jacinto,A96,A97Equipo,A98,A99Solymar,A100,A101Equipo,A102,A103Joanico,A104,A105Equipo,A106,A107Los Cerrillos,A108,A109Equipo,A110,A111Santa Rosa,A112,A113Equipo,A114,A115Sauce,A116,A117Equipo,A118<,A119Centro Civico (Shopping Costa Urbana),A120,A121Equipo,A122,A123Tienda Shopping Costa Urbana,A124,A125Equipo,A126,A127Central Salinas,A128,A129Equipo,A130,A131El Pinar,A132,A133Equipo,A134,A135San Jacinto,A136,A137Equipo,A138,A139Datacenter Pando,A140,A141Equipo,A142,A143San Bautista,A144,A145Equipo,A146,A147Shopping Las Piedras,A148,A149Equipo,A150,A151Barros Blancos,A152,A153Equipo
,,99,A2107582,,,99,,,,99,,,,99,,,,99,,,,99,,,,99,,,,,99,,,,99,,,,99,,,,99,,,,99,,,,99,,,,99,,,,99,,,,99,,,,99,,,,99,,,,99,,,,99,,,,99,,,,99,,,,99,,,,99,,,,99,,,,99,,,,99,,,,99,,,,99,,,,99,,,,99,,,,99,,,,99,,,,99,,,,99,,,,99,,,,99,,,,99,
,,100,,,,100,,,,100,,,,100,,,,100,,,,100,,,,100,RELOJ,,,,100,,,,100,,,,100,,,,100,,,,100,,,,100,,,,100,,,,100,,,,100,,,,100,,,,100,,,,100,,,,100,,,,100,,,,100,,,,100,,,,100,,,,100,,,,100,,,,100,,,,100,,,,100,,,,100,,,,100,,,,100,,,,100,,,,100,,,,100,,,,100,,,,100,,,,100,
,,101,,,,101,,,,101,,,,101,,,,101,,,,101,,,,101,Reservada RELOJ,,,,101,,,,101,,,,101,,,,101,,,,101,,,,101,,,,101,,,,101,,,,101,,,,101,,,,101,,,,101,,,,101,,,,101,,,,101,,,,101,,,,101,,,,101,,,,101,,,,101,,,,101,,,,101,,,,101,,,,101,,,,101,,,,101,,,,101,,,,101,,,,101,,,,101,,,,101,
,,102,,,,102,,,,102,,,,102,,,,102,,,,102,,,,102,Ocupada,,,,102,,,,102,,,,102,,,,102,,,,102,,,,102,,,,102,,,,102,,,,102,,,,102,,,,102,,,,102,,,,102,,,,102,,,,102,,,,102,,,,102,,,,102,,,,102,,,,102,,,,102,,,,102,,,,102,,,,102,,,,102,,,,102,,,,102,,,,102,,,,102,,,,102,,,,102,
,,103,,,,103,,,,103,,,,103,,,,103,,,,103,,,,103,Ocupada,A4180521,,,103,,,,103,,,,103,,,,103,,,,103,,,,103,,,,103,,,,103,,,,103,,,,103,,,,103,,,,103,,,,103,,,,103,,,,103,,,,103,,,,103,,,,103,,,,103,,,,103,,,,103,,,,103,,,,103,,,,103,,,,103,,,,103,,,,103,,,,103,,,,103,,,,103,,,,103,
,,104,,,,104,,,,104,,,,104,,,,104,,,,104,,,,104,,,,,104,,,,104,,,,104,,,,104,,,,104,,,,104,,,,104,,,,104,,,,104,,,,104,,,,104,,,,104,,,,104,,,,104,,,,104,,,,104,,,,104,,,,104,,,,104,,,,104,,,,104,,,,104,,,,104,,,,104,,,,104,,,,104,,,,104,,,,104,,,,104,,,,104,,,,104,
,,105,,,,105,,,,105,,,,105,,,,105,,,,105,,,,105,Ocupada,A4101646,,,105,,,,105,,,,105,,,,105,,,,105,,,,105,,,,105,,,,105,,,,105,,,,105,,,,105,,,,105,,,,105,,,,105,,,,105,,,,105,,,,105,,,,105,,,,105,,,,105,,,,105,,,,105,,,,105,,,,105,,,,105,,,,105,,,,105,,,,105,,,,105,,,,105,,,,105,
,,106,,,,106,,,,106,,,,106,,,,106,,,,106,,,,106,,,,,106,,,,106,,,,106,,,,106,,,,106,,,,106,,,,106,,,,106,,,,106,,,,106,,,,106,,,,106,,,,106,,,,106,,,,106,,,,106,,,,106,,,,106,,,,106,,,,106,,,,106,,,,106,,,,106,,,,106,,,,106,,,,106,,,,106,,,,106,,,,106,,,,106,,,,106,
,,107,,,,107,,,,107,,,,107,,,,107,,,,107,,,,107,Ocupada,A4102017,,,107,,,,107,,,,107,,,,107,,,,107,,,,107,,,,107,,,,107,,,,107,,,,107,,,,107,,,,107,,,,107,,,,107,,,,107,,,,107,,,,107,,,,107,,,,107,,,,107,,,,107,,,,107,,,,107,,,,107,,,,107,,,,107,,,,107,,,,107,,,,107,,,,107,,,,107,
,,108,,,,108,,,,108,,,,108,,,,108,,,,108,,,,108,,,,,108,,,,108,,,,108,,,,108,,,,108,,,,108,,,,108,,,,108,,,,108,,,,108,,,,108,,,,108,,,,108,,,,108,,,,108,,,,108,,,,108,,,,108,,,,108,,,,108,,,,108,,,,108,,,,108,,,,108,,,,108,,,,108,,,,108,,,,108,,,,108,,,,108,,,,108,
,,109,,,,109,,,,109,,,,109,,,,109,,,,109,,,,109,Ocupada,A4102018,,,109,,,,109,,,,109,,,,109,,,,109,,,,109,,,,109,,,,109,,,,109,,,,109,,,,109,,,,109,,,,109,,,,109,,,,109,,,,109,,,,109,,,,109,,,,109,,,,109,,,,109,,,,109,,,,109,,,,109,,,,109,,,,109,,,,109,,,,109,,,,109,,,,109,,,,109,
,,110,,,,110,,,,110,,,,110,,,,110,,,,110,,,,110,Ocupada,A4180210,,,110,,,,110,,,,110,,,,110,,,,110,,,,110,,,,110,,,,110,,,,110,,,,110,,,,110,,,,110,,,,110,,,,110,,,,110,,,,110,,,,110,,,,110,,,,110,,,,110,,,,110,,,,110,,,,110,,,,110,,,,110,,,,110,,,,110,,,,110,,,,110,,,,110,,,,110,
,,111,,,,111,,,,111,,,,111,,,,111,,,,111,,,,111,Ocupada,A4102133,,,111,,,,111,,,,111,,,,111,,,,111,,,,111,,,,111,,,,111,,,,111,,,,111,,,,111,,,,111,,,,111,,,,111,,,,111,,,,111,,,,111,,,,111,,,,111,,,,111,,,,111,,,,111,,,,111,,,,111,,,,111,,,,111,,,,111,,,,111,,,,111,,,,111,,,,111,
,,112,,,,112,,,,112,,,,112,,,,112,,,,112,,,,112,,,,,112,,,,112,,,,112,,,,112,,,,112,,,,112,,,,112,,,,112,,,,112,,,,112,,,,112,,,,112,,,,112,,,,112,,,,112,,,,112,,,,112,,,,112,,,,112,,,,112,,,,112,,,,112,,,,112,,,,112,,,,112,,,,112,,,,112,,,,112,,,,112,,,,112,,,,112,
,,113,,,,113,,,,113,,,,113,,,,113,,,,113,,,,113,,,,,113,,,,113,,,,113,,,,113,,,,113,,,,113,,,,113,,,,113,,,,113,,,,113,,,,113,,,,113,,,,113,,,,113,,,,113,,,,113,,,,113,,,,113,,,,113,,,,113,,,,113,,,,113,,,,113,,,,113,,,,113,,,,113,,,,113,,,,113,,,,113,,,,113,,,,113,
,,114,,,,114,,,,114,,,,114,,,,114,,,,114,,,,114,,,,,114,,,,114,,,,114,,,,114,,,,114,,,,114,,,,114,,,,114,,,,114,,,,114,,,,114,,,,114,,,,114,,,,114,,,,114,,,,114,,,,114,,,,114,,,,114,,,,114,,,,114,,,,114,,,,114,,,,114,,,,114,,,,114,,,,114,,,,114,,,,114,,,,114,,,,114,
,,115,,,,115,,,,115,,,,115,,,,115,,,,115,,,,115,,,,,115,,,,115,,,,115,,,,115,,,,115,,,,115,,,,115,,,,115,,,,115,,,,115,,,,115,,,,115,,,,115,,,,115,,,,115,,,,115,,,,115,,,,115,,,,115,,,,115,,,,115,,,,115,,,,115,,,,115,,,,115,,,,115,,,,115,,,,115,,,,115,,,,115,,,,115,
,,116,,,,116,,,,116,,,,116,,,,116,,,,116,,,,116,,,,,116,,,,116,,,,116,,,,116,,,,116,,,,116,,,,116,,,,116,,,,116,,,,116,,,,116,,,,116,,,,116,,,,116,,,,116,,,,116,,,,116,,,,116,,,,116,,,,116,,,,116,,,,116,,,,116,,,,116,,,,116,,,,116,,,,116,,,,116,,,,116,,,,116,,,,116,
,,117,,,,117,,,,117,,,,117,,,,117,,,,117,,,,117,,,,,117,,,,117,,,,117,,,,117,,,,117,,,,117,,,,117,,,,117,,,,117,,,,117,,,,117,,,,117,,,,117,,,,117,,,,117,,,,117,,,,117,,,,117,,,,117,,,,117,,,,117,,,,117,,,,117,,,,117,,,,117,,,,117,,,,117,,,,117,,,,117,,,,117,,,,117,
,,118,,,,118,,,,118,,,,118,,,,118,,,,118,,,,118,,,,,118,,,,118,,,,118,,,,118,,,,118,,,,118,,,,118,,,,118,,,,118,,,,118,,,,118,,,,118,,,,118,,,,118,,,,118,,,,118,,,,118,,,,118,,,,118,,,,118,,,,118,,,,118,,,,118,,,,118,,,,118,,,,118,,,,118,,,,118,,,,118,,,,118,,,,118,
,,119,,,,119,,,,119,,,,119,,,,119,,,,119,,,,119,,,,,119,,,,119,,,,119,,,,119,,,,119,,,,119,,,,119,,,,119,,,,119,,,,119,,,,119,,,,119,,,,119,,,,119,,,,119,,,,119,,,,119,,,,119,,,,119,,,,119,,,,119,,,,119,,,,119,,,,119,,,,119,,,,119,,,,119,,,,119,,,,119,,,,119,,,,119,
,,120,,,,120,,,,120,,,,120,,,,120,,,,120,,,,120,,,,,120,,,,120,,,,120,,,,120,,,,120,,,,120,,,,120,,,,120,,,,120,,,,120,,,,120,,,,120,,,,120,,,,120,,,,120,,,,120,,,,120,,,,120,,,,120,,,,120,,,,120,,,,120,,,,120,,,,120,,,,120,,,,120,,,,120,,,,120,,,,120,,,,120,,,,120,
,,121,,,,121,,,,121,,,,121,,,,121,,,,121,,,,121,Ocupada,A4102271,,,121,,,,121,,,,121,,,,121,,,,121,,,,121,,,,121,,,,121,,,,121,,,,121,,,,121,,,,121,,,,121,,,,121,,,,121,,,,121,,,,121,,,,121,,,,121,,,,121,,,,121,,,,121,,,,121,,,,121,,,,121,,,,121,,,,121,,,,121,,,,121,,,,121,,,,121,
,,122,,,,122,,,,122,,,,122,,,,122,,,,122,,,,122,,,,,122,,,,122,,,,122,,,,122,,,,122,,,,122,,,,122,,,,122,,,,122,,,,122,,,,122,,,,122,,,,122,,,,122,,,,122,,,,122,,,,122,,,,122,,,,122,,,,122,,,,122,,,,122,,,,122,,,,122,,,,122,,,,122,,,,122,,,,122,,,,122,,,,122,,,,122,
,,123,,,,123,,,,123,,,,123,,,,123,,,,123,,,,123,Ocupada,A4102204,,,123,,,,123,,,,123,,,,123,,,,123,,,,123,,,,123,,,,123,,,,123,,,,123,,,,123,,,,123,,,,123,,,,123,,,,123,,,,123,,,,123,,,,123,,,,123,,,,123,,,,123,,,,123,,,,123,,,,123,,,,123,,,,123,,,,123,,,,123,,,,123,,,,123,,,,123,
,,124,,,,124,,,,124,,,,124,,,,124,,,,124,,,,124,Ocupada,A4102268,,,124,,,,124,,,,124,,,,124,,,,124,,,,124,,,,124,,,,124,,,,124,,,,124,,,,124,,,,124,,,,124,,,,124,,,,124,,,,124,,,,124,,,,124,,,,124,,,,124,,,,124,,,,124,,,,124,,,,124,,,,124,,,,124,,,,124,,,,124,,,,124,,,,124,,,,124,
,,125,,,,125,,,,125,,,,125,,,,125,,,,125,,,,125,Ocupada,A4180679,,,125,,,,125,,,,125,,,,125,,,,125,,,,125,,,,125,,,,125,,,,125,,,,125,,,,125,,,,125,,,,125,,,,125,,,,125,,,,125,,,,125,,,,125,,,,125,,,,125,,,,125,,,,125,,,,125,,,,125,,,,125,,,,125,,,,125,,,,125,,,,125,,,,125,,,,125,
,,126,,,,126,,,,126,,,,126,,,,126,,,,126,,,,126,,,,,126,,,,126,,,,126,,,,126,,,,126,,,,126,,,,126,,,,126,,,,126,,,,126,,,,126,,,,126,,,,126,,,,126,,,,126,,,,126,,,,126,,,,126,,,,126,,,,126,,,,126,,,,126,,,,126,,,,126,,,,126,,,,126,,,,126,,,,126,,,,126,,,,126,,,,126,
,,127,,,,127,,,,127,,,,127,,,,127,,,,127,,,,127,,,,,127,,,,127,,,,127,,,,127,,,,127,,,,127,,,,127,,,,127,,,,127,,,,127,,,,127,,,,127,,,,127,,,,127,,,,127,,,,127,,,,127,,,,127,,,,127,,,,127,,,,127,,,,127,,,,127,,,,127,,,,127,,,,127,,,,127,,,,127,,,,127,,,,127,,,,127,
,,128,,,,128,,,,128,,,,128,,,,128,,,,128,,,,128,Ocupada,A4102410,,,128,,,,128,,,,128,,,,128,,,,128,,,,128,,,,128,,,,128,,,,128,,,,128,,,,128,,,,128,,,,128,,,,128,,,,128,,,,128,,,,128,,,,128,,,,128,,,,128,,,,128,,,,128,,,,128,,,,128,,,,128,,,,128,,,,128,,,,128,,,,128,,,,128,,,,128,
,,129,,,,129,,,,129,,,,129,,,,129,,,,129,,,,129,,,,,129,,,,129,,,,129,,,,129,,,,129,,,,129,,,,129,,,,129,,,,129,,,,129,,,,129,,,,129,,,,129,,,,129,,,,129,,,,129,,,,129,,,,129,,,,129,,,,129,,,,129,,,,129,,,,129,,,,129,,,,129,,,,129,,,,129,,,,129,,,,129,,,,129,,,,129,
,,130,,,,130,,,,130,,,,130,,,,130,,,,130,,,,130,,,,,130,,,,130,,,,130,,,,130,,,,130,,,,130,,,,130,,,,130,,,,130,,,,130,,,,130,,,,130,,,,130,,,,130,,,,130,,,,130,,,,130,,,,130,,,,130,,,,130,,,,130,,,,130,,,,130,,,,130,,,,130,,,,130,,,,130,,,,130,,,,130,,,,130,,,,130,
,,131,,,,131,,,,131,,,,131,,,,131,,,,131,,,,131,,,,,131,,,,131,,,,131,,,,131,,,,131,,,,131,,,,131,,,,131,,,,131,,,,131,,,,131,,,,131,,,,131,,,,131,,,,131,,,,131,,,,131,,,,131,,,,131,,,,131,,,,131,,,,131,,,,131,,,,131,,,,131,,,,131,,,,131,,,,131,,,,131,,,,131,,,,131,
,,132,,,,132,,,,132,,,,132,,,,132,,,,132,,,,132,Ocupada,A4103651,,,132,,,,132,,,,132,,,,132,,,,132,,,,132,,,,132,,,,132,,,,132,,,,132,,,,132,,,,132,,,,132,,,,132,,,,132,,,,132,,,,132,,,,132,,,,132,,,,132,,,,132,,,,132,,,,132,,,,132,,,,132,,,,132,,,,132,,,,132,,,,132,,,,132,,,,132,
,,133,,,,133,,,,133,,,,133,,,,133,,,,133,,,,133,,,,,133,,,,133,,,,133,,,,133,,,,133,,,,133,,,,133,,,,133,,,,133,,,,133,,,,133,,,,133,,,,133,,,,133,,,,133,,,,133,,,,133,,,,133,,,,133,,,,133,,,,133,,,,133,,,,133,,,,133,,,,133,,,,133,,,,133,,,,133,,,,133,,,,133,,,,133,
,,134,,,,134,,,,134,,,,134,,,,134,,,,134,,,,134,,,,,134,,,,134,,,,134,,,,134,,,,134,,,,134,,,,134,,,,134,,,,134,,,,134,,,,134,,,,134,,,,134,,,,134,,,,134,,,,134,,,,134,,,,134,,,,134,,,,134,,,,134,,,,134,,,,134,,,,134,,,,134,,,,134,,,,134,,,,134,,,,134,,,,134,,,,134,
,,135,,,,135,,,,135,,,,135,,,,135,,,,135,,,,135,,,,,135,,,,135,,,,135,,,,135,,,,135,,,,135,,,,135,,,,135,,,,135,,,,135,,,,135,,,,135,,,,135,,,,135,,,,135,,,,135,,,,135,,,,135,,,,135,,,,135,,,,135,,,,135,,,,135,,,,135,,,,135,,,,135,,,,135,,,,135,,,,135,,,,135,,,,135,
,,136,,,,136,,,,136,,,,136,,,,136,,,,136,,,,136,,,,,136,,,,136,,,,136,,,,136,,,,136,,,,136,,,,136,,,,136,,,,136,,,,136,,,,136,,,,136,,,,136,,,,136,,,,136,,,,136,,,,136,,,,136,,,,136,,,,136,,,,136,,,,136,,,,136,,,,136,,,,136,,,,136,,,,136,,,,136,,,,136,,,,136,,,,136,
,,137,,,,137,,,,137,,,,137,,,,137,,,,137,,,,137,,,,,137,,,,137,,,,137,,,,137,,,,137,,,,137,,,,137,,,,137,,,,137,,,,137,,,,137,,,,137,,,,137,,,,137,,,,137,,,,137,,,,137,,,,137,,,,137,,,,137,,,,137,,,,137,,,,137,,,,137,,,,137,,,,137,,,,137,,,,137,,,,137,,,,137,,,,137,
,,138,,,,138,,,,138,,,,138,,,,138,,,,138,,,,138,,,,,138,,,,138,,,,138,,,,138,,,,138,,,,138,,,,138,,,,138,,,,138,,,,138,,,,138,,,,138,,,,138,,,,138,,,,138,,,,138,,,,138,,,,138,,,,138,,,,138,,,,138,,,,138,,,,138,,,,138,,,,138,,,,138,,,,138,,,,138,,,,138,,,,138,,,,138,
,,139,,,,139,,,,139,,,,139,,,,139,,,,139,,,,139,,,,,139,,,,139,,,,139,,,,139,,,,139,,,,139,,,,139,,,,139,,,,139,,,,139,,,,139,,,,139,,,,139,,,,139,,,,139,,,,139,,,,139,,,,139,,,,139,,,,139,,,,139,,,,139,,,,139,,,,139,,,,139,,,,139,,,,139,,,,139,,,,139,,,,139,,,,139,
,,140,,,,140,,,,140,,,,140,,,,140,,,,140,,,,140,,,,,140,,,,140,,,,140,,,,140,,,,140,,,,140,,,,140,,,,140,,,,140,,,,140,,,,140,,,,140,,,,140,,,,140,,,,140,,,,140,,,,140,,,,140,,,,140,,,,140,,,,140,,,,140,,,,140,,,,140,,,,140,,,,140,,,,140,,,,140,,,,140,,,,140,,,,140,
,,141,,,,141,,,,141,,,,141,,,,141,,,,141,,,,141,,,,,141,,,,141,,,,141,,,,141,,,,141,,,,141,,,,141,,,,141,,,,141,,,,141,,,,141,,,,141,,,,141,,,,141,,,,141,,,,141,,,,141,,,,141,,,,141,,,,141,,,,141,,,,141,,,,141,,,,141,,,,141,,,,141,,,,141,,,,141,,,,141,,,,141,,,,141,
,,142,,,,142,,,,142,,,,142,,,,142,,,,142,,,,142,,,,,142,,,,142,,,,142,,,,142,,,,142,,,,142,,,,142,,,,142,,,,142,,,,142,,,,142,,,,142,,,,142,,,,142,,,,142,,,,142,,,,142,,,,142,,,,142,,,,142,,,,142,,,,142,,,,142,,,,142,,,,142,,,,142,,,,142,,,,142,,,,142,,,,142,,,,142,
,,143,,,,143,,,,143,,,,143,,,,143,,,,143,,,,143,,,,,143,,,,143,,,,143,,,,143,,,,143,,,,143,,,,143,,,,143,,,,143,,,,143,,,,143,,,,143,,,,143,,,,143,,,,143,,,,143,,,,143,,,,143,,,,143,,,,143,,,,143,,,,143,,,,143,,,,143,,,,143,,,,143,,,,143,,,,143,,,,143,,,,143,,,,143,
,,144,,,,144,,,,144,,,,144,,,,144,,,,144,,,,144,,,,,144,,,,144,,,,144,,,,144,,,,144,,,,144,,,,144,,,,144,,,,144,,,,144,,,,144,,,,144,,,,144,,,,144,,,,144,,,,144,,,,144,,,,144,,,,144,,,,144,,,,144,,,,144,,,,144,,,,144,,,,144,,,,144,,,,144,,,,144,,,,144,,,,144,,,,144,
,,145,,,,145,,,,145,,,,145,,,,145,,,,145,,,,145,,,,,145,,,,145,,,,145,,,,145,,,,145,,,,145,,,,145,,,,145,,,,145,,,,145,,,,145,,,,145,,,,145,,,,145,,,,145,,,,145,,,,145,,,,145,,,,145,,,,145,,,,145,,,,145,,,,145,,,,145,,,,145,,,,145,,,,145,,,,145,,,,145,,,,145,,,,145,
,,146,,,,146,,,,146,,,,146,,,,146,,,,146,,,,146,,,,,146,,,,146,,,,146,,,,146,,,,146,,,,146,,,,146,,,,146,,,,146,,,,146,,,,146,,,,146,,,,146,,,,146,,,,146,,,,146,,,,146,,,,146,,,,146,,,,146,,,,146,,,,146,,,,146,,,,146,,,,146,,,,146,,,,146,,,,146,,,,146,,,,146,,,,146,
,,147,,,,147,,,,147,,,,147,,,,147,,,,147,,,,147,,,,,147,,,,147,,,,147,,,,147,,,,147,,,,147,,,,147,,,,147,,,,147,,,,147,,,,147,,,,147,,,,147,,,,147,,,,147,,,,147,,,,147,,,,147,,,,147,,,,147,,,,147,,,,147,,,,147,,,,147,,,,147,,,,147,,,,147,,,,147,,,,147,,,,147,,,,147,
,,148,,,,148,,,,148,,,,148,,,,148,,,,148,,,,148,,,,,148,,,,148,,,,148,,,,148,,,,148,,,,148,,,,148,,,,148,,,,148,,,,148,,,,148,,,,148,,,,148,,,,148,,,,148,,,,148,,,,148,,,,148,,,,148,,,,148,,,,148,,,,148,,,,148,,,,148,,,,148,,,,148,,,,148,,,,148,,,,148,,,,148,,,,148,
,,149,,,,149,,,,149,,,,149,,,,149,,,,149,,,,149,,,,,149,,,,149,,,,149,,,,149,,,,149,,,,149,,,,149,,,,149,,,,149,,,,149,,,,149,,,,149,,,,149,,,,149,,,,149,,,,149,,,,149,,,,149,,,,149,,,,149,,,,149,,,,149,,,,149,,,,149,,,,149,,,,149,,,,149,,,,149,,,,149,,,,149,,,,149,
,,150,,,,150,,,,150,,,,150,,,,150,,,,150,,,,150,,,,,150,,,,150,,,,150,,,,150,,,,150,,,,150,,,,150,,,,150,,,,150,,,,150,,,,150,,,,150,,,,150,,,,150,,,,150,,,,150,,,,150,,,,150,,,,150,,,,150,,,,150,,,,150,,,,150,,,,150,,,,150,,,,150,,,,150,,,,150,,,,150,,,,150,,,,150,
,,151,,,,151,,,,151,,,,151,,,,151,,,,151,,,,151,,,,,151,,,,151,,,,151,,,,151,,,,151,,,,151,,,,151,,,,151,,,,151,,,,151,,,,151,,,,151,,,,151,,,,151,,,,151,,,,151,,,,151,,,,151,,,,151,,,,151,,,,151,,,,151,,,,151,,,,151,,,,151,,,,151,,,,151,,,,151,,,,151,,,,151,,,,151,
,,152,,,,152,,,,152,,,,152,,,,152,,,,152,,,,152,,,,,152,,,,152,,,,152,,,,152,,,,152,,,,152,,,,152,,,,152,,,,152,,,,152,,,,152,,,,152,,,,152,,,,152,,,,152,,,,152,,,,152,,,,152,,,,152,,,,152,,,,152,,,,152,,,,152,,,,152,,,,152,,,,152,,,,152,,,,152,,,,152,,,,152,,,,152,
,,153,,,,153,,,,153,,,,153,,,,153,,,,153,,,,153,,,,,153,,,,153,,,,153,,,,153,,,,153,,,,153,,,,153,,,,153,,,,153,,,,153,,,,153,,,,153,,,,153,,,,153,,,,153,,,,153,,,,153,,,,153,,,,153,,,,153,,,,153,,,,153,,,,153,,,,153,,,,153,,,,153,,,,153,,,,153,,,,153,,,,153,,,,153,
,,154,,,,154,,,,154,,,,154,,,,154,,,,154,,,,154,,,,,154,,,,154,,,,154,,,,154,,,,154,,,,154,,,,154,,,,154,,,,154,,,,154,,,,154,,,,154,,,,154,,,,154,,,,154,,,,154,,,,154,,,,154,,,,154,,,,154,,,,154,,,,154,,,,154,,,,154,,,,154,,,,154,,,,154,,,,154,,,,154,,,,154,,,,154,
,,155,,,,155,,,,155,,,,155,,,,155,,,,155,,,,155,,,,,155,,,,155,,,,155,,,,155,,,,155,,,,155,,,,155,,,,155,,,,155,,,,155,,,,155,,,,155,,,,155,,,,155,,,,155,,,,155,,,,155,,,,155,,,,155,,,,155,,,,155,,,,155,,,,155,,,,155,,,,155,,,,155,,,,155,,,,155,,,,155,,,,155,,,,155,
,,156,,,,156,,,,156,,,,156,,,,156,,,,156,,,,156,,,,,156,,,,156,,,,156,,,,156,,,,156,,,,156,,,,156,,,,156,,,,156,,,,156,,,,156,,,,156,,,,156,,,,156,,,,156,,,,156,,,,156,,,,156,,,,156,,,,156,,,,156,,,,156,,,,156,,,,156,,,,156,,,,156,,,,156,,,,156,,,,156,,,,156,,,,156,
,,157,,,,157,,,,157,,,,157,,,,157,,,,157,,,,157,,,,,157,,,,157,,,,157,,,,157,,,,157,,,,157,,,,157,,,,157,,,,157,,,,157,,,,157,,,,157,,,,157,,,,157,,,,157,,,,157,,,,157,,,,157,,,,157,,,,157,,,,157,,,,157,,,,157,,,,157,,,,157,,,,157,,,,157,,,,157,,,,157,,,,157,,,,157,
,,158,,,,158,,,,158,,,,158,,,,158,,,,158,,,,158,,,,,158,,,,158,,,,158,,,,158,,,,158,,,,158,,,,158,,,,158,,,,158,,,,158,,,,158,,,,158,,,,158,,,,158,,,,158,,,,158,,,,158,,,,158,,,,158,,,,158,,,,158,,,,158,,,,158,,,,158,,,,158,,,,158,,,,158,,,,158,,,,158,,,,158,,,,158,
,,159,,,,159,,,,159,,,,159,,,,159,,,,159,,,,159,,,,,159,,,,159,,,,159,,,,159,,,,159,,,,159,,,,159,,,,159,,,,159,,,,159,,,,159,,,,159,,,,159,,,,159,,,,159,,,,159,,,,159,,,,159,,,,159,,,,159,,,,159,,,,159,,,,159,,,,159,,,,159,,,,159,,,,159,,,,159,,,,159,,,,159,,,,159,
,,160,,,,160,,,,160,,,,160,,,,160,,,,160,,,,160,,,,,160,,,,160,,,,160,,,,160,,,,160,,,,160,,,,160,,,,160,,,,160,,,,160,,,,160,,,,160,,,,160,,,,160,,,,160,,,,160,,,,160,,,,160,,,,160,,,,160,,,,160,,,,160,,,,160,,,,160,,,,160,,,,160,,,,160,,,,160,,,,160,,,,160,,,,160,
,,161,,,,161,,,,161,,,,161,,,,161,,,,161,,,,161,,,,,161,,,,161,,,,161,,,,161,,,,161,,,,161,,,,161,,,,161,,,,161,,,,161,,,,161,,,,161,,,,161,,,,161,,,,161,,,,161,,,,161,,,,161,,,,161,,,,161,,,,161,,,,161,,,,161,,,,161,,,,161,,,,161,,,,161,,,,161,,,,161,,,,161,,,,161,
,,162,,,,162,,,,162,,,,162,,,,162,,,,162,,,,162,,,,,162,,,,162,,,,162,,,,162,,,,162,,,,162,,,,162,,,,162,,,,162,,,,162,,,,162,,,,162,,,,162,,,,162,,,,162,,,,162,,,,162,,,,162,,,,162,,,,162,,,,162,,,,162,,,,162,,,,162,,,,162,,,,162,,,,162,,,,162,,,,162,,,,162,,,,162,
,,163,,,,163,,,,163,,,,163,,,,163,,,,163,,,,163,,,,,163,,,,163,,,,163,,,,163,,,,163,,,,163,,,,163,,,,163,,,,163,,,,163,,,,163,,,,163,,,,163,,,,163,,,,163,,,,163,,,,163,,,,163,,,,163,,,,163,,,,163,,,,163,,,,163,,,,163,,,,163,,,,163,,,,163,,,,163,,,,163,,,,163,,,,163,
,,164,,,,164,,,,164,,,,164,,,,164,,,,164,,,,164,,,,,164,,,,164,,,,164,,,,164,,,,164,,,,164,,,,164,,,,164,,,,164,,,,164,,,,164,,,,164,,,,164,,,,164,,,,164,,,,164,,,,164,,,,164,,,,164,,,,164,,,,164,,,,164,,,,164,,,,164,,,,164,,,,164,,,,164,,,,164,,,,164,,,,164,,,,164,
,,165,,,,165,,,,165,,,,165,,,,165,,,,165,,,,165,,,,,165,,,,165,,,,165,,,,165,,,,165,,,,165,,,,165,,,,165,,,,165,,,,165,,,,165,,,,165,,,,165,,,,165,,,,165,,,,165,,,,165,,,,165,,,,165,,,,165,,,,165,,,,165,,,,165,,,,165,,,,165,,,,165,,,,165,,,,165,,,,165,,,,165,,,,165,
,,166,,,,166,Provisorias Notebook,,,166,,,,166,,,,166,,,,166,,,,166,,,,,166,,,,166,,,,166,,,,166,,,,166,,,,166,,,,166,,,,166,,,,166,,,,166,,,,166,,,,166,,,,166,,,,166,,,,166,,,,166,,,,166,,,,166,,,,166,,,,166,,,,166,,,,166,,,,166,,,,166,,,,166,,,,166,,,,166,,,,166,,,,166,,,,166,,,,166,
